id,added,edited,beerdb_id,name,country,origin_state,origin_city,production,url,description,latitude,longitude,accuracy,image
28,2013-07-08 23:33:02.903100+00:00,2013-07-08 23:33:02.944168+00:00,,"Allguer Brauhaus AG Kempten, Brausttte Leuterschach",DEU,Bayern,Marktoberdorf,,,,,,,
29,2013-07-08 23:33:02.959682+00:00,2013-07-08 23:33:02.984815+00:00,,Alltech's Lexington Brewing Company,USA,Kentucky,Lexington,,http://www.kentuckyale.com/kentuckyale/Index.html,"Producers of Kentucky Ale brand.   Also a very esteemed educational institution, specializing in distilling sciences and fermentation sciences.",38.0501,-84.508799999999994,interpolated,
30,2013-07-08 23:33:03.001434+00:00,2013-07-08 23:33:03.060532+00:00,,Alpine Beer Company,USA,California,Alpine,,http://www.alpinebeerco.com/,,32.835500000000003,-116.765,interpolated,
31,2013-07-08 23:33:03.089667+00:00,2013-07-08 23:33:03.120018+00:00,,Alpirsbacher Klosterbru,DEU,Baden-Wrttemberg,Alpirsbach,,,,48.345700000000001,8.4031000000000002,rooftop,
32,2013-07-08 23:33:03.136470+00:00,2013-07-08 23:33:03.153467+00:00,,Alvinne Picobrouwerij,BEL,West-Vlaanderen,Ingelmunster,,,,50.918999999999997,3.2631999999999999,interpolated,
33,2013-07-08 23:33:03.217854+00:00,2013-07-08 23:33:03.245312+00:00,,America's Brewing,USA,Illinois,Aurora,,,,41.7605,-88.308999999999997,rooftop,
34,2013-07-08 23:33:03.257550+00:00,2013-07-08 23:33:03.287686+00:00,,American River Brewing,USA,California,Auburn,,,,38.896599999999999,-121.077,approximate,
35,2013-07-08 23:33:03.331092+00:00,2013-07-08 23:33:03.354989+00:00,,Amerisports Brew Pub,USA,Missouri,Kansas City,,,,39.155099999999997,-94.481999999999999,interpolated,
36,2013-07-08 23:33:03.369578+00:00,2013-07-08 23:33:03.385439+00:00,,Amherst Brewing Company,USA,Massachusetts,Amherst,,http://www.amherstbrewing.com/,"Amherst Brewing Company is a full-service brewpub located in downtown Amherst, Massachusetts. Our 10-Barrel brewery is visible from the bar and produces some of the finest ales and lagers for serving in our 150-seat restaurant and 100-seat lounge and game room. Brewery tours can be made by appointment. Our giant, brass-top bar seats over 30 people and is fully stocked, including Single Malt Scotches and Small Batch Bourbons. An additional 40 seats are available on our seasonal patio; the best place in town to relax and enjoy an ABC draft or specialty brew while watching passersby. --From Amherst Website",42.376300000000001,-72.519900000000007,interpolated,
37,2013-07-08 23:33:03.399018+00:00,2013-07-08 23:33:03.423127+00:00,,"Amicas Pizza, Microbrews and More",USA,Colorado,Salida,,,,38.534999999999997,-105.992,rooftop,
38,2013-07-08 23:33:03.447880+00:00,2013-07-08 23:33:03.473192+00:00,,Amstel Brouwerij,NLD,,Amsterdam,,http://www.amstel.com,,52.373800000000003,4.8909000000000002,approximate,
39,2013-07-08 23:33:03.532291+00:00,2013-07-08 23:33:03.536538+00:00,,Anacortes Brewing,USA,Washington,Anacortes,,http://www.anacortesrockfish.com/,"Our brewers focus on high quality ingredients, a carefully controlled process and delicate handling to provide one of the best beers you will find in the industry. We operate a seven barrel brewery designed and installed by Sound Brewing Systems of Seattle with vessels fabricated by Ripley Stainless in British Columbia. Our brewery features a cold room specially designed for lagering to provide our beers with a traditional character and complexity.",48.519300000000001,-122.613,interpolated,
40,2013-07-08 23:33:03.544336+00:00,2013-07-08 23:33:03.589154+00:00,,Anchor Brewing,USA,California,San Francisco,,,,37.763500000000001,-122.401,rooftop,
41,2013-07-08 23:33:03.602957+00:00,2013-07-08 23:33:03.645138+00:00,,Andechser Klosterbrauerei,DEU,Bayern,Andechs,,,,47.977499999999999,11.185,rooftop,
42,2013-07-08 23:33:03.665555+00:00,2013-07-08 23:33:03.679765+00:00,,Anderson Valley Brewing,USA,California,Boonville,,http://avbc.com/,,39.001399999999997,-123.35599999999999,rooftop,
