id,added,edited,beerdb_id,name,brewer,style,edition,abv,calories_oz,carbs_oz,original_gravity,specific_gravity,description,image,untappd_beer_id
5113,2013-07-09 00:14:10.606955+00:00,2013-07-09 00:14:10.613507+00:00,,Nut Brown,1239,39,,,,,,,,,
5114,2013-07-09 00:14:10.669122+00:00,2013-07-09 00:14:10.683209+00:00,,Amber Ale,1239,34,,,,,,,,,
5115,2013-07-09 00:14:10.706597+00:00,2013-07-09 00:14:10.717055+00:00,,Pale Ale,1239,27,,,,,,,,,
5116,2013-07-09 00:14:10.745298+00:00,2013-07-09 00:14:10.803367+00:00,,Hefeweizen,1239,56,,7.5,,,,,,,
5117,2013-07-09 00:14:10.827059+00:00,2013-07-09 00:14:10.845784+00:00,,India Pale Ale,1241,27,,,,,,,,,
5118,2013-07-09 00:14:11.006287+00:00,2013-07-09 00:14:11.065955+00:00,,Lager,1242,96,,,,,,,,,
5119,2013-07-09 00:14:11.086819+00:00,2013-07-09 00:14:11.100485+00:00,,IPA,1243,32,,6.7000000000000002,,,,,,,
5120,2013-07-09 00:14:11.123049+00:00,2013-07-09 00:14:11.134611+00:00,,Big Hoppy Monster,1244,34,,8.75,,,,,This mammoth imperial red ale leads with a tantalizing hop aroma that is quickly complemented by an enormous malt backbone & finished with a multitude of hoppy goodness.,,
5121,2013-07-09 00:14:11.154714+00:00,2013-07-09 00:14:11.177223+00:00,,The Iron Tankard,1244,34,,9.4000000000000004,,,,,"The Brew 1 Ã¢â‚¬â€œ March Ã¢â‚¬â€œ Ã¢â‚¬Å“The Iron TankardÃ¢â‚¬Â Old Stock Ale Ã¢â‚¬â€œ The building started as a YMCA in 1889 and had a huge iron swimming pool in the basement.

From Spike: Iron Tankard Ã¢â‚¬Å“Old Stock AleÃ¢â‚¬Â is the first of four beers in TerrapinÃ¢â‚¬â„¢s Georgia Theatre Sessions. It is brewed with a generous portion of crystal malts for a full body and is lightly hopped. This malt forward beer has flavors of dark dried fruit, mellow alcoholic warmth and is unfiltered for your listening pleasure.

A portion of the proceeds will be donated to the Georgia Historic Trust for Historic Preservation Fund to rebuild the Georgia Theater. To make things even more interesting, there is one Golden Ticket hidden among each of the Georgia Theater Sessions brews. This means that four lucky winners will receive a lifetime pass to the new Theater.",,
5122,2013-07-09 00:14:11.207771+00:00,2013-07-09 00:14:11.215868+00:00,,Capt'n Krunkles,1244,1,,,,,,,A black IPA.,,
5123,2013-07-09 00:14:11.232197+00:00,2013-07-09 00:14:11.252382+00:00,,Terrapin All-American Imperial Pilsner,1244,1,,7.5,,,,,"Help us celebrate American Independence and American Beer Month in July with the release of the Terrapin All-American Imperial Pilsner.

This beer was brewed using only American malts, American hops, and American yeast. Who says you have to import ingredients from Germany to make a true Pilsner?

Of course, this Pilsner is made Ã¢â‚¬Å“Terrapin StyleÃ¢â‚¬Â. Hence the 75 B.U.Ã¢â‚¬â„¢s, the 7.5% alcohol and the term Ã¢â‚¬Å“IMPERIAL PilsnerÃ¢â‚¬Â.",,
5124,2013-07-09 00:14:11.268776+00:00,2013-07-09 00:14:11.289093+00:00,,Rye Squared,1244,33,,9.5,,,,,"Double the malt, double the hops, and double the flavor of the original Rye Pale Ale recipe. (Hence the name Rye Squared.) With its mammoth hop aroma, bitterness and flavor, this beer is not for the faint at heart. The Rye Squared clocks in at a hefty 9.5% ABV so double your pleasure and double your fun because Terrapin went a little crazy with this one!",,
5125,2013-07-09 00:14:11.357688+00:00,2013-07-09 00:14:11.362671+00:00,,Terrapin Monk's Revenge,1244,73,,9.8000000000000007,,,,,"This Belgian IPA has a malt bill of a Belgian Tripel and a hop bill of a Double IPA. The yeast I chose for this beer comes from one of the 7 Trappist breweries.

Believe it or not, this is the first time in my professional brewing career that I have used dextrose (corn syrup) in a Terrapin brew. True to style no doubt.

Ã¢â‚¬Å“MonkÃ¢â‚¬â„¢s RevengeÃ¢â‚¬Â (otherwise known as the Ã¢â‚¬Å“Big NastyÃ¢â‚¬Â) has all the flavor and aroma of a Double IPA while hidden beneath lies the malt character of a fine Belgian Tripel.

I hope you enjoy my interpretation of this very fun style.",,
5126,2013-07-09 00:14:11.380067+00:00,2013-07-09 00:14:11.399345+00:00,,Terrapin Rye Pale Ale,1244,27,,5.5,,,,,"By using an exact amount of rye, a grain seldom found in other micro brewed beers, the Rye Pale Ale acquires its signature taste. Made with five varieties of hops and a generous amount of specialty malts, it offers a complex flavor and aroma that is both aggressive and well balanced Ã¢â‚¬â€œ a rare find among beers.

The Terrapin Rye Pale Ale was released in Athens, GA in April of 2002 at the Classic City Brew Fest. Six months later this beer which was sold only in Athens was awarded the American Pale Ale Gold Medal at the 2002 Great American Beer Festival, the most prestigious competition in North America. We hope you will agree with our peers in the brewing industry that this is truly one of the best pale ales in the country.",,
5127,2013-07-09 00:14:11.416333+00:00,2013-07-09 00:14:11.421829+00:00,,India Style Brown Ale,1244,39,,6.0,,,,,"The Terrapin India Style Brown Ale is a head on collision between a hoppy, west coast IPA and a complex, malty brown ale. Brewed with 5 varieties of hops and 7 different malts, this hybrid style represents the best of both worlds.",,
5128,2013-07-09 00:14:11.437128+00:00,2013-07-09 00:14:11.446153+00:00,,SunRay Wheat Beer,1244,117,,4.7000000000000002,,,,,"The Sunray Wheat is a German-style unfiltered wheat beer brewed with a touch of local Georgia Coast Tupelo honey from the Savannah Bee Company.

Its inviting banana and sweet clove like aroma gives way to a pleasant, clean finish with a hint of tartness.

This beer is available in the Terrapin Ã¢â‚¬Å“All The HitsÃ¢â‚¬Â Variety 12-pack as well as in individual 6-packs.",,
5129,2013-07-09 00:14:11.462341+00:00,2013-07-09 00:14:11.540501+00:00,,Terrapin Golden Ale,1244,114,,5.0,,,,,"Terrapin Beer Company was started by two guys who love big, bold beers. We are known for using a ton of flavorful ingredients and for pushing the envelope with the brews we create.

We have also been known to take pleasure in hiking, biking, kayaking, and just plain having fun in the great outdoors. When we get hot and sweaty even hopheads like us want nothing more than to enjoy a beer that is crisp and refreshing.

Which is why we created the perfect session beer Ã¢â‚¬â€œ the Terrapin Golden Ale.",,
